m,GE,SR
10,97.5999984741211,0.0
30,156.1999969482422,0.0
50,134.60000610351562,0.0
70,232.1999969482422,0.0
90,219.60000610351562,0.0
110,192.39999389648438,0.0
130,179.39999389648438,0.0
150,195.60000610351562,0.0
170,148.60000610351562,0.0
190,153.60000610351562,0.0
210,151.39999389648438,0.0
230,169.39999389648438,0.0
250,189.8000030517578,0.0
270,154.1999969482422,0.0
290,135.8000030517578,0.0
310,122.80000305175781,0.0
330,106.5999984741211,0.0
350,106.80000305175781,0.0
370,89.4000015258789,0.0
390,65.5999984741211,0.0
410,52.400001525878906,0.0
430,46.0,0.0
450,49.0,0.0
470,55.0,0.2
490,66.80000305175781,0.0
510,62.599998474121094,0.0
530,72.5999984741211,0.0
550,131.0,0.0
570,165.8000030517578,0.0
590,172.39999389648438,0.0
610,178.8000030517578,0.0
630,145.1999969482422,0.0
650,134.8000030517578,0.0
670,141.0,0.0
690,118.4000015258789,0.0
710,131.0,0.0
730,135.0,0.0
750,122.19999694824219,0.0
770,124.80000305175781,0.0
790,120.5999984741211,0.0
810,115.0,0.0
830,119.0,0.0
850,106.80000305175781,0.0
870,107.4000015258789,0.0
890,111.19999694824219,0.0
910,106.80000305175781,0.0
930,111.80000305175781,0.0
950,101.0,0.0
970,100.80000305175781,0.0
990,129.8000030517578,0.0
