m,GE,SR
10,106.19999694824219,0.0
30,147.8000030517578,0.0
50,135.60000610351562,0.0
70,132.1999969482422,0.0
90,112.5999984741211,0.0
110,129.0,0.0
130,109.19999694824219,0.0
150,101.80000305175781,0.0
170,110.0,0.0
190,104.19999694824219,0.0
210,97.80000305175781,0.0
230,101.4000015258789,0.0
250,100.80000305175781,0.0
270,106.80000305175781,0.0
290,113.80000305175781,0.0
310,117.19999694824219,0.0
330,109.19999694824219,0.0
350,100.19999694824219,0.0
370,99.4000015258789,0.0
390,93.19999694824219,0.0
410,108.80000305175781,0.0
430,101.5999984741211,0.0
450,98.4000015258789,0.0
470,99.80000305175781,0.0
490,106.80000305175781,0.0
510,110.4000015258789,0.0
530,108.0,0.0
550,120.19999694824219,0.0
570,107.5999984741211,0.0
590,98.19999694824219,0.0
610,92.19999694824219,0.0
630,100.5999984741211,0.0
650,110.19999694824219,0.0
670,121.0,0.0
690,123.5999984741211,0.0
710,115.5999984741211,0.0
730,115.5999984741211,0.0
750,116.5999984741211,0.0
770,119.0,0.0
790,120.80000305175781,0.0
810,117.80000305175781,0.0
830,113.0,0.0
850,114.4000015258789,0.0
870,109.80000305175781,0.0
890,110.19999694824219,0.0
910,114.4000015258789,0.0
930,113.4000015258789,0.0
950,112.19999694824219,0.0
970,117.80000305175781,0.0
990,114.80000305175781,0.0
