traces,rank
10,79
20,77
30,25
40,54
50,81
60,128
70,155
80,120
90,93
100,110
110,123
120,123
130,171
140,143
150,134
160,125
170,111
180,168
190,115
200,85
210,89
220,78
230,69
240,100
250,81
260,55
270,102
280,125
290,124
300,148
310,105
320,69
330,65
340,103
350,126
360,93
370,79
380,102
390,139
400,139
410,166
420,99
430,133
440,135
450,135
460,150
470,150
480,152
490,164
500,163
510,186
520,178
530,165
540,175
550,168
560,144
570,124
580,133
590,139
600,132
610,140
620,153
630,141
640,171
650,178
660,183
670,176
680,178
690,193
700,193
710,207
720,218
730,225
740,228
750,236
760,243
770,243
780,238
790,242
800,240
810,241
820,230
830,230
840,218
850,224
860,218
870,209
880,216
890,217
900,210
910,215
920,217
930,218
940,217
950,215
960,207
970,200
980,205
990,192
1000,194
1010,182
1020,169
1030,160
1040,180
1050,186
1060,192
1070,182
1080,178
1090,168
1100,156
1110,174
1120,162
1130,157
1140,156
1150,135
1160,126
1170,106
1180,108
1190,95
1200,90
1210,91
1220,93
1230,94
1240,106
1250,116
1260,104
1270,100
1280,100
1290,98
1300,114
1310,103
1320,88
1330,58
1340,53
1350,51
1360,40
1370,41
1380,39
1390,43
1400,47
1410,50
1420,52
1430,60
1440,49
1450,60
1460,58
1470,71
1480,71
1490,80
1500,86
1510,93
1520,87
1530,84
1540,90
1550,89
1560,88
1570,86
1580,100
1590,92
1600,90
1610,84
1620,77
1630,83
1640,83
1650,83
1660,81
1670,80
1680,83
1690,84
1700,88
1710,89
1720,87
1730,93
1740,92
1750,85
1760,89
1770,99
1780,99
1790,97
1800,88
1810,98
1820,101
1830,103
1840,112
1850,111
1860,97
1870,104
1880,94
1890,85
1900,85
1910,96
1920,94
1930,91
1940,85
1950,97
1960,90
1970,67
1980,70
1990,66
