traces,rank
10,71
20,69
30,24
40,44
50,68
60,120
70,146
80,116
90,90
100,107
110,117
120,114
130,162
140,139
150,131
160,123
170,107
180,160
190,113
200,81
210,85
220,77
230,69
240,99
250,83
260,57
270,108
280,132
290,132
300,149
310,110
320,71
330,69
340,115
350,135
360,104
370,83
380,114
390,144
400,148
410,174
420,120
430,143
440,140
450,146
460,161
470,163
480,161
490,175
500,179
510,199
520,188
530,174
540,188
550,182
560,156
570,139
580,143
590,150
600,144
610,150
620,161
630,154
640,180
650,184
660,193
670,184
680,186
690,202
700,204
710,213
720,225
730,232
740,232
750,241
760,245
770,244
780,239
790,243
800,243
810,241
820,233
830,233
840,223
850,231
860,224
870,215
880,223
890,222
900,218
910,217
920,223
930,218
940,222
950,216
960,212
970,205
980,209
990,198
1000,200
1010,194
1020,181
1030,168
1040,189
1050,189
1060,196
1070,188
1080,183
1090,178
1100,161
1110,179
1120,164
1130,163
1140,166
1150,141
1160,135
1170,112
1180,118
1190,101
1200,93
1210,98
1220,99
1230,101
1240,112
1250,123
1260,108
1270,101
1280,105
1290,99
1300,118
1310,103
1320,90
1330,62
1340,55
1350,51
1360,42
1370,41
1380,40
1390,44
1400,46
1410,50
1420,51
1430,62
1440,55
1450,66
1460,61
1470,75
1480,76
1490,83
1500,89
1510,101
1520,94
1530,88
1540,96
1550,95
1560,92
1570,89
1580,100
1590,94
1600,94
1610,87
1620,76
1630,87
1640,86
1650,87
1660,87
1670,84
1680,85
1690,85
1700,87
1710,90
1720,85
1730,96
1740,91
1750,83
1760,86
1770,98
1780,94
1790,92
1800,88
1810,98
1820,98
1830,101
1840,111
1850,109
1860,94
1870,99
1880,94
1890,86
1900,87
1910,96
1920,98
1930,93
1940,87
1950,95
1960,90
1970,73
1980,70
1990,63
