traces,rank
10,192
20,241
30,242
40,245
50,213
60,235
70,226
80,235
90,229
100,223
110,191
120,150
130,142
140,181
150,172
160,206
170,219
180,225
190,227
200,231
210,216
220,230
230,237
240,246
250,249
260,250
270,248
280,243
290,244
300,252
310,246
320,242
330,226
340,212
350,225
360,230
370,224
380,193
390,182
400,164
410,177
420,176
430,180
440,201
450,186
460,153
470,185
480,197
490,207
500,217
510,198
520,179
530,189
540,206
550,208
560,191
570,184
580,184
590,173
600,150
610,160
620,164
630,146
640,142
650,138
660,120
670,117
680,106
690,104
700,107
710,115
720,112
730,105
740,105
750,103
760,96
770,80
780,85
790,69
800,68
810,81
820,103
830,103
840,126
850,151
860,139
870,160
880,166
890,170
900,177
910,162
920,160
930,172
940,166
950,187
960,190
970,184
980,190
990,178
1000,184
1010,185
1020,193
1030,171
1040,187
1050,174
1060,176
1070,175
1080,178
1090,170
1100,167
1110,170
1120,160
1130,163
1140,142
1150,145
1160,145
1170,145
1180,142
1190,148
1200,142
1210,125
1220,143
1230,148
1240,141
1250,130
1260,133
1270,134
1280,146
1290,147
1300,162
1310,155
1320,155
1330,154
1340,146
1350,150
1360,157
1370,154
1380,157
1390,153
1400,175
1410,183
1420,188
1430,184
1440,176
1450,170
1460,169
1470,173
1480,164
1490,161
1500,157
1510,167
1520,174
1530,169
1540,177
1550,171
1560,162
1570,172
1580,181
1590,183
1600,181
1610,179
1620,182
1630,181
1640,189
1650,182
1660,185
1670,178
1680,177
1690,163
1700,172
1710,170
1720,172
1730,162
1740,169
1750,157
1760,144
1770,149
1780,155
1790,154
1800,148
1810,136
1820,149
1830,127
1840,139
1850,119
1860,122
1870,122
1880,128
1890,138
1900,154
1910,154
1920,149
1930,160
1940,172
1950,159
1960,153
1970,150
1980,165
1990,173
