traces,rank
10,193
20,97
30,45
40,16
50,30
60,43
70,81
80,117
90,136
100,143
110,155
120,121
130,134
140,130
150,122
160,86
170,89
180,113
190,106
200,74
210,59
220,70
230,72
240,74
250,84
260,104
270,123
280,147
290,125
300,148
310,121
320,75
330,88
340,127
350,133
360,137
370,120
380,103
390,140
400,134
410,187
420,159
430,166
440,156
450,121
460,126
470,114
480,112
490,100
500,105
510,124
520,124
530,130
540,115
550,91
560,102
570,109
580,122
590,111
600,117
610,122
620,102
630,97
640,104
650,134
660,134
670,150
680,149
690,161
700,178
710,182
720,179
730,187
740,169
750,180
760,187
770,194
780,195
790,214
800,203
810,208
820,202
830,193
840,203
850,198
860,214
870,208
880,216
890,217
900,211
910,204
920,207
930,209
940,212
950,208
960,214
970,204
980,204
990,203
1000,194
1010,190
1020,195
1030,198
1040,205
1050,195
1060,199
1070,197
1080,198
1090,201
1100,195
1110,196
1120,202
1130,197
1140,200
1150,193
1160,180
1170,182
1180,178
1190,178
1200,179
1210,176
1220,194
1230,174
1240,176
1250,170
1260,151
1270,135
1280,135
1290,139
1300,136
1310,131
1320,124
1330,118
1340,104
1350,92
1360,87
1370,93
1380,96
1390,108
1400,115
1410,117
1420,117
1430,128
1440,123
1450,125
1460,110
1470,123
1480,117
1490,135
1500,144
1510,144
1520,141
1530,129
1540,112
1550,119
1560,105
1570,110
1580,117
1590,111
1600,99
1610,104
1620,104
1630,116
1640,107
1650,110
1660,116
1670,116
1680,115
1690,111
1700,108
1710,101
1720,105
1730,106
1740,129
1750,118
1760,116
1770,104
1780,89
1790,78
1800,71
1810,69
1820,63
1830,59
1840,65
1850,77
1860,69
1870,69
1880,65
1890,67
1900,70
1910,79
1920,84
1930,83
1940,93
1950,85
1960,83
1970,75
1980,70
1990,64
